,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
7524,59,technician,married,secondary,no,0,no,no,cellular,29,aug,2,-1,0,unknown,no
4777,31,technician,single,tertiary,no,454,no,no,cellular,30,apr,1,-1,0,unknown,yes
1041,34,admin.,single,tertiary,no,4254,yes,no,cellular,21,nov,1,-1,0,unknown,yes
3137,33,technician,married,secondary,no,303,yes,no,cellular,3,feb,1,301,5,success,yes
2829,38,blue-collar,single,secondary,no,0,no,no,cellular,27,oct,1,75,3,failure,yes
9797,41,services,married,secondary,no,0,yes,no,unknown,5,may,2,-1,0,unknown,no
3319,73,retired,married,primary,no,508,no,no,cellular,9,mar,1,-1,0,unknown,yes
3546,78,retired,married,unknown,no,3208,no,no,telephone,20,may,3,-1,0,unknown,yes
4381,31,management,married,tertiary,no,1812,no,no,cellular,30,apr,1,-1,0,unknown,yes
4852,38,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,2,-1,0,unknown,yes
10144,43,admin.,single,secondary,no,386,no,no,cellular,12,oct,1,92,4,success,no
2517,28,technician,single,secondary,no,113,no,no,cellular,13,aug,3,105,1,failure,yes
6660,59,management,married,primary,no,2769,yes,no,cellular,19,nov,1,131,2,failure,no
554,51,admin.,single,secondary,no,895,no,no,cellular,23,jul,2,-1,0,unknown,yes
1805,39,technician,divorced,tertiary,yes,3,no,no,cellular,6,may,1,-1,0,unknown,yes
6282,58,admin.,married,unknown,no,0,yes,no,cellular,17,nov,1,186,2,failure,no
7590,33,technician,single,secondary,no,161,no,no,cellular,25,aug,9,-1,0,unknown,no
597,31,management,married,tertiary,no,0,yes,yes,cellular,28,jul,8,-1,0,unknown,yes
4722,56,management,divorced,tertiary,no,4266,yes,no,unknown,17,jun,4,-1,0,unknown,yes
10248,35,management,single,tertiary,no,687,yes,no,unknown,30,may,2,-1,0,unknown,no
8117,34,technician,married,secondary,no,0,no,no,cellular,28,aug,10,-1,0,unknown,no
2690,47,technician,divorced,secondary,no,1013,no,no,cellular,15,sep,1,92,3,failure,yes
3444,73,retired,married,primary,no,796,no,no,cellular,23,apr,1,182,3,success,yes
5722,41,entrepreneur,divorced,tertiary,no,-413,yes,no,unknown,8,may,2,-1,0,unknown,no
2167,49,management,married,tertiary,no,1808,yes,no,cellular,1,jun,1,95,1,success,yes
6711,27,admin.,married,secondary,no,941,yes,no,cellular,11,jul,1,-1,0,unknown,no
1648,29,student,single,secondary,no,78,no,no,cellular,30,apr,1,-1,0,unknown,yes
